CCD_KEY,BAT_CODE,BAT_DESC,ISS_CODE,ISS_DESC,Session Categoy,FQPM,MedicalMember,Specialism Count,Panel requirement code,FTA Respondent,Notes
001AD,01,UNIVERSAL CREDIT,AD,ADVANCE PAYMENT,1,,,,84,Tribunal Judge,
001BC,01,UNIVERSAL CREDIT,BC,BENEFIT CAP CALCULATION,1,,,,84,Tribunal Judge,
001BR,01,UNIVERSAL CREDIT,BR,BEDROOM REDUCTION,1,,,,84,Tribunal Judge,
001CE,01,UNIVERSAL CREDIT,CE,CONDITIONS OF ENTITLEMENT,1,,,,84,Tribunal Judge,
001CH,01,UNIVERSAL CREDIT,CH,CHILDCARE COSTS,1,,,,84,Tribunal Judge,
001CI,01,UNIVERSAL CREDIT,CI,CARER ISSUE,1,,,,84,Tribunal Judge,
001CP,01,UNIVERSAL CREDIT,CP,CIVIL PENALTY,1,,,,84,Tribunal Judge,
001CR,01,UNIVERSAL CREDIT,CR,CREDITS,1,,,,84,Tribunal Judge,
001CX,01,UNIVERSAL CREDIT,CX,COMPLEX/MULTIPLE ISSUES,1,,,,84,Tribunal Judge,
001DD,01,UNIVERSAL CREDIT,DD,APPEAL DIRECTLY LODGED,1,,,,84,Tribunal Judge,
001EC,01,UNIVERSAL CREDIT,EC,ECHR,1,,,,84,Tribunal Judge,
001GC,01,UNIVERSAL CREDIT,GC,GOOD CAUSE,1,,,,84,Tribunal Judge,
001HC,01,UNIVERSAL CREDIT,HC,HOUSING COSTS,1,,,,84,Tribunal Judge,
001HS,01,UNIVERSAL CREDIT,HS,SUPPORTED HOUSING - WHAT IS ELIGIBLE FOR HB,1,,,,84,Tribunal Judge,
001HT,01,UNIVERSAL CREDIT,HT,HABITUAL RESIDENCE TEST,1,,,,84,Tribunal Judge,
001IJ,01,UNIVERSAL CREDIT,IJ,PERSONAL INJURY,1,,,,84,Tribunal Judge,
001IQ,01,UNIVERSAL CREDIT,IQ,INCOME QUERY,1,,,,84,Tribunal Judge,
001LE,01,UNIVERSAL CREDIT,LE,LATE (EXTENDING BACK),1,,,,84,Tribunal Judge,
001LM,01,UNIVERSAL CREDIT,LM,LABOUR MARKET ISSUES,1,,,,84,Tribunal Judge,
001LT,01,UNIVERSAL CREDIT,LT,LIVING TOGETHER,1,,,,84,Tribunal Judge,
001OC,01,UNIVERSAL CREDIT,OC,OVERPAYMENT - CAPITAL,1,,,,84,Tribunal Judge,
001OS,01,UNIVERSAL CREDIT,OS,OVERPAYMENT - STRAIGHTFORWARD,1,,,,84,Tribunal Judge,
001OX,01,UNIVERSAL CREDIT,OX,OVERPAYMENT - COMPLEX,1,,,,84,Tribunal Judge,
001PC,01,UNIVERSAL CREDIT,PC,PROPERTY/CAPITAL SETTLEMENT,1,,,,84,Tribunal Judge,
001PT,01,UNIVERSAL CREDIT,PT,HARDSHIP PAYMENT,1,,,,84,Tribunal Judge,
001QC,01,UNIVERSAL CREDIT,QC,CHILD ISSUE,1,,,,84,Tribunal Judge,
001RA,01,UNIVERSAL CREDIT,RA,RATE OF ASSESMENT/PAYABILITY ISSUES,1,,,,84,Tribunal Judge,
001SA,01,UNIVERSAL CREDIT,SA,STANDARD ALLOWANCE,1,,,,84,Tribunal Judge,
001SG,01,UNIVERSAL CREDIT,SG,SUPPORT GROUP PLACEMENT,4,,,,"84, 58","Tribunal Judge, Tribunal Member Medical",
001SS,01,UNIVERSAL CREDIT,SS,SELF EMPLOYED - STRAIGHTFORWARD,1,,,,84,Tribunal Judge,
001SX,01,UNIVERSAL CREDIT,SX,SELF EMPLOYED - COMPLEX,1,,,,84,Tribunal Judge,
001TB,01,UNIVERSAL CREDIT,TB,TERMINATION OF BENEFIT - FAILURE TO PROVIDE FURTHE,1,,,,84,Tribunal Judge,
001TD,01,UNIVERSAL CREDIT,TD,THIRD PARTY DEDUCTION,1,,,,84,Tribunal Judge,
001TP,01,UNIVERSAL CREDIT,TP,TRANSITIONAL PROTECTION,1,,,,84,Tribunal Judge,
001UC,01,UNIVERSAL CREDIT,UC,PATHFINDER APPEAL,1,,,,84,Tribunal Judge,
001WC,01,UNIVERSAL CREDIT,WC,WORK CAPABILITY ASSESSMENT,4,,,,"84, 58","Tribunal Judge, Tribunal Member Medical",
001UM,01,UNIVERSAL CREDIT,UM,MULTIPLE ELEMENT,1,,,,,,element/ issue code determines PRRT e.g. CE not the benefit/ issue code US - see above codes for PRRT 
001UM,01,UNIVERSAL CREDIT,UM,MULTIPLE ELEMENT,4,,,,,,element/ issue code determines PRRT e.g. SG or WC not the benefit/ issue code US - see above codes for PRRT 
001US,01,UNIVERSAL CREDIT,US,SINGLE ELEMENT,1,,,,,,element/ issue code determines PRRT e.g. CE not the benefit/ issue code  UM - see above codes for PRRT 
001US,01,UNIVERSAL CREDIT,US,SINGLE ELEMENT,4,,,,,,element/ issue code determines PRRT e.g. SG or WC not the benefit/ issue code UM - see above codes for PRRT 
002AA,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),AA,INVALID,N/A,,,,,,
002AR,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),AR,ALTERNATIVE DISPUTE RESOLUTION,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
002CC,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),CC,CONDITIONS OF ENTITLEMENT - COMPLEX,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
002CD,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),CD,CARE (DLA),3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
002CE,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),CE,CONDITIONS OF ENTITLEMENT,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
002CF,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),CF,CARE/MOBILITY (DLA),3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
002CP,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),CP,CIVIL PENALTY,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
002DD,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),DD,APPEAL DIRECTLY LODGED,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
002EC,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),EC,ECHR,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
002EI,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),EI,EXPORTABILITY ISSUES,1,,,,84,Tribunal Judge,
002EX,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),EX,EX LEGISLATION,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
002GC,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),GC,GOOD CAUSE,1,,,,84,Tribunal Judge,
002LC,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),LC,DAILY LIVING COMPONENT,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
002LE,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),LE,LATE (EXTENDING BACK),1,,,,84,Tribunal Judge,
002MD,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),MD,MOBILITY (DLA),3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
002ML,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),ML,DAILY LIVING/MOBILITY,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
002MO,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),MO,MOBILITY COMPONENT,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
